,Uniq Id,Crawl Timestamp,Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal
0,9be62c49a0b7ebe982a4af1edaa7bc5f,2019-07-05 01:46:07 +0000, Digital Media Planner, Not Disclosed by Recruiter ,5 - 10 yrs, Media Planning| Digital Media,Advertising,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager,72.8773928,19.0759899,3855
1,3c52d436e39f596b22519da2612f6a56,2019-07-06 08:04:50 +0000, Online Bidding Executive, Not Disclosed by Recruiter ,2 - 5 yrs, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Retail Sales,"Pune,Pune","Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,73.8544541,18.521428,2639
2,ffad8a2396c60be2bf6d0e2ff47c58d4,2019-08-05 15:50:44 +0000, Trainee Research/ Research Executive- Hi- Tech Operations, Not Disclosed by Recruiter ,0 - 1 yrs, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,R&D,Gurgaon,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive,77.00270014657752,28.42826235,2156
3,7b921f51b5c2fb862b4a5f7a54c37f75,2019-08-05 15:31:56 +0000, Technical Support," 2,00,000 - 4,00,000 PA. ",0 - 5 yrs, Technical Support,Admin/Maintenance/Security/Datawarehousing,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer,72.8773928,19.0759899,4059
4,2d8b7d44e138a54d5dc841163138de50,2019-07-05 02:48:29 +0000, Software Test Engineer -hyderabad, Not Disclosed by Recruiter ,2 - 5 yrs, manual testing| test engineering| test cases| web testing| web technologies,Programming & Design,Hyderabad,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,78.4740613,17.360589,5347
5,c9628ea8d9cfd2ca72e14d53783aca90,2019-08-05 03:59:27 +0000, Opening For Adobe Analytics Specialist," 7,00,000 - 17,00,000 PA. ",5 - 7 yrs, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,73.8544541,18.521428,4838
6,2008eb365fa0ebcb1ccd9a50efc3da49,2019-07-06 09:20:22 +0000, Sales- Fresher-for Leading Property Consultant," 2,00,000 - 3,00,000 PA. ",0 - 0 yrs, channel partners| real estate| negotiation| property| Residential Sales,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,77.590082,12.9767936,2585
7,9642bed00e26183e41ab73778bf48108,2019-08-04 03:31:17 +0000, Opportunity For Azure Devops Architect For Hyderabad Location, Not Disclosed by Recruiter ,9 - 14 yrs, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect,78.4740613,17.360589,3914
8,2633768efe8c6f72d75158f1c173f893,2019-07-06 15:41:47 +0000, BDE- PUNE, Not Disclosed by Recruiter ,2 - 7 yrs, Bde,Institutional Sales,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,73.8544541,18.521428,2111
9,138a9ab97a766d8048f5b246172f65ed,2019-07-04 12:37:52 +0000, Technical Support/ Product Support, Not Disclosed by Recruiter ,1 - 5 yrs, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Voice,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),77.590082,12.9767936,2359
10,823c36988178cf5c9a6a34e4fc75d4e0,2019-08-05 17:37:44 +0000, Executive Assistant To Chairman," 25,00,000 - 35,00,000 PA. ",5 - 10 yrs, secretary| executive assistant| ea,Corporate Planning/Consulting/Strategy,Mumbai,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Corporate Planning/Strategy Manager,72.8773928,19.0759899,5569
11,a607d6b0ce2e03b55463d12199932a86,2019-08-05 14:03:29 +0000, SEO Executive, Not Disclosed by Recruiter ,1 - 6 yrs, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Admin/Maintenance/Security/Datawarehousing,"Noida,Delhi,Noida/Greater Noida","IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster,77.5545502,28.3900177,2167
12,fe0f1e3bae37f5a698e27659797333ca,2019-07-07 02:26:53 +0000, Workflow Coordinator, Not Disclosed by Recruiter ,2 - 7 yrs, operations| workflow| tat| monitoring| mts| email,Operations,"Delhi,Delhi","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst,77.2219388,28.6517178,2063
13,225c4680e3df32fbaf9c625ca18ae47c,2019-08-04 09:37:17 +0000,Oracle IDAM,Openings: 1, 3 - 7 Years,Oracle IDAM|OIM|OAM,Programming & Design,"Bengaluru,Hyderabad,Kolkata,Chennai","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,,,3239
14,d3fac027fd78efae29c1f9394a6cd576,2019-07-04 20:06:22 +0000, Looking Facebook /social Media Manager For our Digital Marketing Ageny," 3,50,000 - 5,00,000 PA. ",2 - 4 yrs, digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager,77.00270014657752,28.42826235,6979
15,04eb1d641b91b8083fdf5b45cf10c5fe,2019-08-05 04:32:34 +0000, Wanted Engineering Fresher For MNC Chennai, Not Disclosed by Recruiter ,0 - 1 yrs, instrumentation engineering| electrical engineering| Engineering| fresher| Trainee| immediate| Mechanical Engineering| electronics engineering| undergraduate,,Chennai,Other,Other,Other,80.270186,13.0836939,1513
16,f501e8c72bdb217c4b61c712ed9c1361,2019-07-06 19:30:24 +0000, Tooling &amp; Sampling, Not Disclosed by Recruiter ,2 - 7 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Engineering Design,Faridabad,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer,77.3105561,28.4031478,6622
17,d3a1f8730445764ca02e01883fc7c39e,2019-08-06 07:55:31 +0000, Account Manager, Not Disclosed by Recruiter ,3 - 7 yrs, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,72.8773928,19.0759899,5324
18,201088d1d596841523051e20d56611f5,2019-08-04 20:46:52 +0000, Magento Developer, Not Disclosed by Recruiter ,2 - 7 yrs, Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer,72.5797068,23.0216238,6891
19,29efa47a392d94db3ac180860659aa51,2019-08-04 22:29:59 +0000, Looking For Trained Freshers in MS Dynamics CRM- Hyderabad, Not Disclosed by Recruiter ,0 - 3 yrs, C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,6493
20,4740f30cacc84382a30c6fc714dcfa94,2019-07-04 04:24:54 +0000, Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr," 1,00,000 - 3,25,000 PA. ",3 - 7 yrs, sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager,Retail/Personal Banking,"Bhilai/Bhillai,Bhilwara,Bhopal,Bhubaneshwar,Bikaner,Bilaspur,Bokaro,Chandigarh,Burdwan","Financial Services , Banking , Investments , Insurance",Insurance,Sales Officer,,,5623
21,11fe465851f01db5ffcbf801fb168396,2019-07-05 02:10:13 +0000, Business Development / Corporate Sales," 2,50,000 - 4,50,000 PA. ",0 - 4 yrs, lead generation| business development| corporate sales,Retail Sales,Delhi NCR,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.1212148,28.6882438,1564
22,4aac7d18687b2dcc4d3b02bf42febe12,2019-07-06 18:53:21 +0000, Business Development Manager (BDM), Not Disclosed by Recruiter ,2 - 5 yrs, contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,Retail Sales,"Delhi,Delhi","Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.2219388,28.6517178,5439
23,498a81dbb1966dc3b032dcd54dea2e61,2019-07-05 02:39:32 +0000, QA Executive," 2,00,000 - 3,00,000 PA. ",2 - 5 yrs, QA Executive,QA/Testing/Documentation,Hyderabad,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive,78.4740613,17.360589,5434
24,8ebb28ac4a09c08ee45c4553932e47dd,2019-08-04 18:26:33 +0000, Back End Java Developer - Restful Services/soap, Not Disclosed by Recruiter ,6 - 8 yrs, Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL,Programming & Design,Bengaluru,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4114
25,a15f05a1ab440474aa94817f01dac8ab,2019-08-06 04:46:43 +0000, Product Engineer, Not Disclosed by Recruiter ,4 - 9 yrs, Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4897
26,fedc5a266bab46f33edbacb31d829682,2019-08-04 11:37:08 +0000, Opening For Articulate tool Developer - Articulate / Captivate)chennai," 2,00,000 - 4,00,000 PA. ",3 - 5 yrs, Articulate Storyline,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer,80.270186,13.0836939,4626
27,42db9dd9e7d34fd3000127e180d78989,2019-07-04 18:48:43 +0000, Urgent Hiring for Area Sales Manager, Not Disclosed by Recruiter ,7 - 12 yrs, Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager,Retail Sales,"Ambala,Gurgaon","Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager,76.770421,30.3843674,1724
28,5776ed6ca85971ba240a86935d88957a,2019-08-04 15:52:46 +0000, Software Engineer - C++ Development - Ooad/oops, Not Disclosed by Recruiter ,4 - 9 yrs, C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,80.270186,13.0836939,4562
29,fb64a596e76dd72720e3a2b64b485288,2019-08-05 13:26:19 +0000, Linux Administrator Lead, Not Disclosed by Recruiter ,5 - 10 yrs, qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,Admin/Maintenance/Security/Datawarehousing,"Gurgaon,Gurgaon","IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator,77.00270014657752,28.42826235,5425
